# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
3.163769692304721048e+03	6.698443732525095129e+01	7.299936393333095452e+01
3.248561287428313790e+03	6.707557984510334848e+01	7.353478742015731484e+01
3.333352882551906532e+03	6.712736099058705008e+01	7.400093252204959526e+01
3.418144477675499274e+03	6.713687580377613529e+01	7.440920987083505622e+01
3.502936072799091562e+03	6.710121932674461220e+01	7.476954094348869262e+01
3.587727667922684304e+03	6.701748660156653159e+01	7.509035806213321962e+01
3.672519263046277047e+03	6.688277267031595841e+01	7.537860439403905843e+01
3.757310858169869789e+03	6.669417257506690078e+01	7.563973395162437896e+01
3.842102453293462531e+03	6.644878135789343787e+01	7.587771159245502872e+01
3.926894048417055274e+03	6.614369406086957781e+01	7.609501301924461814e+01
4.011685643540648016e+03	6.577600572606937135e+01	7.629262477985447788e+01
4.096477238664240758e+03	6.534281139556686924e+01	7.647004426729364468e+01
4.181268833787833501e+03	6.484120611143612223e+01	7.662527971971888974e+01
4.266060428911426243e+03	6.426828491575115265e+01	7.675485022043469030e+01
4.350852024035018985e+03	6.362114285058601126e+01	7.685378569789325809e+01
4.435643619158610818e+03	6.289687495801475592e+01	7.691562692569452508e+01
4.520435214282204470e+03	6.209257628011138763e+01	7.693242552258615774e+01
4.605226809405796303e+03	6.120534185894999979e+01	7.689474395246351435e+01
4.690018404529389954e+03	6.023226673660458630e+01	7.679165552436971609e+01
4.774809999652981787e+03	5.917044595514924055e+01	7.661074439249557599e+01
4.859601594776574530e+03	5.801697455665797065e+01	7.633810555617962734e+01
4.944393189900167272e+03	5.676894758320480605e+01	7.595834485990813789e+01
5.029184785023760014e+03	5.542346007686382592e+01	7.545457899331510987e+01
5.113976380147352756e+03	5.397760707970903837e+01	7.480843549118225155e+01
5.198767975270945499e+03	5.242848363381452259e+01	7.400005273343899148e+01
