# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
1.107722439843312713e+03	6.354207421166275083e+01	6.396847369926295812e+01
1.157258440589442216e+03	6.336826111265966688e+01	6.460947932568554108e+01
1.206794441335571719e+03	6.316844857173992978e+01	6.523434148212506045e+01
1.256330442081701221e+03	6.293884720921785458e+01	6.584024310208289421e+01
1.305866442827830497e+03	6.267566764540771374e+01	6.642413030060542667e+01
1.355402443573959999e+03	6.237512050062380098e+01	6.698271237428394898e+01
1.404938444320089502e+03	6.203341639518041006e+01	6.751246180125468754e+01
1.454474445066219005e+03	6.164676594939182763e+01	6.800961424119878984e+01
1.504010445812348507e+03	6.121137978357234743e+01	6.847016853534235281e+01
1.553546446558477783e+03	6.072346851803626322e+01	6.888988670645639445e+01
1.603082447304607285e+03	6.017924277309784742e+01	6.926429395885691065e+01
1.652618448050736788e+03	5.957491316907140799e+01	6.958867867840477572e+01
1.702154448796866291e+03	5.890669032627123158e+01	6.985809243250584188e+01
1.751690449542995793e+03	5.817078486501160484e+01	7.006734997011086818e+01
1.801226450289125296e+03	5.736340740560681439e+01	7.021102922171554894e+01
1.850762451035254799e+03	5.648076856837116111e+01	7.028347129936054216e+01
1.900298451781384301e+03	5.551907897361892452e+01	7.027878049663139848e+01
1.949834452527513804e+03	5.447454924166439838e+01	7.019082428865864642e+01
1.999370453273643079e+03	5.334338999282188354e+01	7.001323333211773559e+01
2.048906454019772355e+03	5.212181184740565243e+01	6.973940146522902239e+01
2.098442454765901857e+03	5.080602542572999880e+01	6.936248570775784117e+01
2.147978455512031360e+03	4.939224134810921640e+01	6.887540626101441887e+01
2.197514456258160862e+03	4.787667023485760609e+01	6.827084650785394615e+01
2.247050457004290365e+03	4.625552270628944029e+01	6.754125301267656312e+01
2.296586457750419868e+03	4.452500938271900566e+01	6.667883552142728831e+01
