# Flow [m3/h] 	 Head [kJ/kg] 	 Efficiency [%]
5.847590670620437777e+03	1.799343065693430503e+02	7.950000000000000000e+01
6.000104428033759177e+03	1.785689122688683881e+02	7.991393655054686462e+01
6.152618185447080577e+03	1.770492254346689265e+02	8.028146092132048750e+01
6.305131942860401978e+03	1.753623708637232426e+02	8.056839252048094124e+01
6.457645700273722468e+03	1.735159422396895081e+02	8.075998890035840816e+01
6.610159457687043869e+03	1.715549030969243347e+02	8.087699564723764922e+01
6.762673215100365269e+03	1.695281955441205071e+02	8.094393657446325108e+01
6.915186972513686669e+03	1.674847616899706964e+02	8.098533549537984300e+01
7.067700729927008069e+03	1.654692772081950807e+02	8.102428878398757206e+01
7.220214487340329470e+03	1.634641144061322393e+02	8.106304771128283448e+01
7.372728244753650870e+03	1.614044575529839562e+02	8.108807564509353938e+01
7.525242002166971361e+03	1.592243209111007900e+02	8.108544449906536045e+01
7.677755759580293670e+03	1.568577187428330433e+02	8.104122618684402823e+01
7.830269516993614161e+03	1.542393767923337862e+02	8.094130262622752525e+01
7.982783274406935561e+03	1.513197570604255588e+02	8.076735348638908363e+01
8.135297031820256962e+03	1.480647167193945108e+02	8.049694727210837186e+01
8.287810789233579271e+03	1.444407561960189810e+02	8.010748071190577946e+01
8.440324546646899762e+03	1.404116403942622071e+02	7.957311474071084945e+01
8.592838304060220253e+03	1.359194750031861076e+02	7.884198281674702002e+01
8.745352061473542562e+03	1.309978508831413819e+02	7.787370746322088166e+01
8.897865818886863053e+03	1.259107480443018545e+02	7.668294305404192812e+01
9.050379576300185363e+03	1.205743167008883887e+02	7.528622691346350848e+01
9.202893333713505854e+03	1.130999387071741324e+02	7.319401359013680519e+01
9.355407091126828163e+03	1.045033731183009706e+02	7.033042079748446440e+01
9.507920848540148654e+03	9.297810218978099783e+01	6.500000000000000000e+01
